ダウンロードした時刻：2020/08/27 10:19:42,,,,,,,,,,
,,,,,,,,,,
,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬,練馬
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,時分,時分,,,,時分,時分,
,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号
2008/8/18,29.4,8,2008/8/18 13:00,8,2,19.7,8,2008/8/18 03:30,8,2
2008/8/19,34.4,8,2008/8/19 12:10,8,2,24.8,8,2008/8/19 04:30,8,2
2008/8/20,33.3,8,2008/8/20 13:00,8,2,23.5,8,2008/8/21 0:00,8,2
2008/8/21,32,8,2008/8/21 15:00,8,2,21.2,8,2008/8/21 22:00,8,2
2008/8/22,25.8,8,2008/8/22 11:40,8,2,20.2,8,2008/8/22 05:50,8,2
2008/8/23,21.2,8,2008/8/23 11:30,8,2,19,8,2008/8/23 18:50,8,2
2008/8/24,22,8,2008/8/24 13:10,8,2,19.1,8,2008/8/24 02:10,8,2
2008/8/25,23.5,8,2008/8/25 10:30,8,2,21.1,8,2008/8/25 03:30,8,2
2009/8/1,29.3,8,2009/8/1 14:05,8,3,21.7,8,2009/8/1 06:00,8,3
2009/8/2,25.3,8,2009/8/2 13:53,8,3,22.5,8,2009/8/2 11:13,8,3
2009/8/3,31.6,8,2009/8/3 14:52,8,3,22,8,2009/8/3 03:10,8,3
2009/8/4,30.5,8,2009/8/4 13:23,8,3,22.9,8,2009/8/4 06:33,8,3
2009/8/5,31.8,8,2009/8/5 14:12,8,3,24.6,8,2009/8/5 04:51,8,3
2009/8/6,31.3,8,2009/8/6 15:04,8,3,25.8,8,2009/8/6 10:21,8,3
2009/8/7,34.7,8,2009/8/7 11:44,8,3,24,8,2009/8/8 0:00,8,3
2009/8/8,30.9,8,2009/8/8 13:18,8,3,23.9,8,2009/8/8 00:21,8,3
2009/8/9,31,8,2009/8/9 11:58,8,3,24.9,8,2009/8/9 04:17,8,3
2009/8/10,28.8,8,2009/8/10 13:45,8,3,24.4,8,2009/8/10 07:04,8,3
2009/8/11,28.8,8,2009/8/11 13:27,8,3,24.8,8,2009/8/11 09:56,8,3
2009/8/12,32.4,8,2009/8/12 13:06,8,3,23.6,8,2009/8/12 05:08,8,3
2009/8/13,33.7,8,2009/8/13 15:26,8,3,23.8,8,2009/8/13 04:39,8,3
2009/8/14,32.2,8,2009/8/14 13:16,8,3,24.7,8,2009/8/14 23:28,8,3
2009/8/15,33.2,8,2009/8/15 14:42,8,3,23.3,8,2009/8/15 03:38,8,3
2009/8/16,34.2,8,2009/8/16 14:36,8,3,23,8,2009/8/16 05:04,8,3
2009/8/17,31.8,8,2009/8/17 13:48,8,3,22.7,8,2009/8/17 05:29,8,3
2009/8/18,31.5,8,2009/8/18 13:54,8,3,23.5,8,2009/8/18 05:20,8,3
2009/8/19,31.6,8,2009/8/19 14:27,8,3,24.2,8,2009/8/19 04:49,8,3
2009/8/20,32.9,8,2009/8/20 14:00,8,3,24.5,8,2009/8/20 05:07,8,3
2009/8/21,33,8,2009/8/21 14:11,8,3,24.7,8,2009/8/21 06:00,8,3
2009/8/22,32.7,8,2009/8/22 13:43,8,3,24.5,8,2009/8/22 23:55,8,3
2009/8/23,32,8,2009/8/23 12:05,8,3,24.1,8,2009/8/23 02:47,8,3
2009/8/24,30.7,8,2009/8/24 11:31,8,3,22.1,8,2009/8/24 23:10,8,3
2009/8/25,29.5,8,2009/8/25 14:13,8,3,22.2,8,2009/8/25 06:50,8,3
2010/8/1,35,8,2010/8/1 15:30,8,3,26.6,8,2010/8/1 03:52,8,3
2010/8/2,33.5,8,2010/8/2 15:05,8,3,27.5,8,2010/8/2 05:36,8,3
2010/8/3,35.3,8,2010/8/3 13:38,8,3,26.9,8,2010/8/3 05:27,8,3
2010/8/4,35.4,8,2010/8/4 13:20,8,3,27,8,2010/8/4 05:04,8,3
2010/8/5,36,8,2010/8/5 12:53,8,3,27.2,8,2010/8/5 04:56,8,3
2010/8/6,34.7,8,2010/8/6 12:56,8,3,27.1,8,2010/8/7 0:00,8,3
